feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3.hydroxybutyric.acid_103	Gender	Male	-0.523441832812107	0.209311908087166	216	216	0.0178290011150453	0.215151627437968
X4.Pyridoxate_184.1	IIRN_Flare	never_flared	0.769815825494321	0.309980798476624	216	216	0.0173612539532173	0.215151627437968
Ascorbic.acid_175	IIRN_Flare	never_flared	1.02431973880399	0.417281561379156	216	216	0.0186026734783723	0.215151627437968
Cholate_407.3	Gender	Male	1.51648640596214	0.61315131582673	216	211	0.018214604159791	0.215151627437968
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Age	Age	-0.772196251175799	0.314659613976975	216	109	0.0193074657007985	0.215151627437968
Dimethylglycine_104.1	Gender	Male	-0.265618219990925	0.108141935669651	216	216	0.0190711705938969	0.215151627437968
Hypotaurine_110	IIRN_Flare	never_flared	-0.600378600929905	0.245102645721049	216	216	0.0186253616157989	0.215151627437968
Melatonin_233.1	IIRN_Flare	never_flared	1.94022525938009	0.78035897377074	216	155	0.0170146139456544	0.215151627437968
Mesaconic.acid_129	Age	Age	0.199046983685118	0.0806491178223143	216	216	0.0189740573731943	0.215151627437968
N.Acetylglucosamine_222.1	Age	Age	-0.372398052855977	0.150357070973018	216	216	0.0179597404542038	0.215151627437968
N.Formylglycine_102	Gender	Male	-0.550091302791983	0.224842081200402	216	215	0.0195910424984166	0.215151627437968
Oxoglutarate_145	IIRN_Flare	never_flared	0.977551865803096	0.39686453852841	216	216	0.0181403391947371	0.215151627437968
Stachydrine_144.1	IIRN_Flare	never_flared	0.911913879863327	0.367771713852294	216	216	0.0174142837671146	0.215151627437968
Stearic.acid_283.3	Gender	Male	-0.608364437117883	0.245907260652775	216	216	0.0181808171724251	0.215151627437968
Tartrate_149	Gender	Male	-0.474797000536824	0.194466979783863	216	216	0.0195555757768941	0.215151627437968
Cis.4.Hydroxy.D.Proline_132.1	Age	Age	0.283228809686561	0.115113554142691	216	216	0.0198031706141592	0.215556635888635
X2.hydroxyglutarate_147	IIRN_Flare	never_flared	-0.555089533899036	0.231168382000187	216	216	0.0207016852098779	0.215788752611439
Bis.2.Ethylhexyl.Phthalate_391.3	Gender	Male	1.08636701969462	0.447604770080777	216	216	0.0202006853194862	0.215788752611439
Deoxycholate_391.3	Gender	Male	1.06637880071916	0.440143313976663	216	216	0.0203990631051695	0.215788752611439
Fructose_179.1	Gender	Male	0.679500862088983	0.280004911048657	216	216	0.0205591781706804	0.215788752611439
Paraxanthine_181.1	Age	Age	0.515927651606303	0.211817568250918	216	125	0.0204850915817576	0.215788752611439
Acetoacetate_101	Gender	Male	-0.372641127339175	0.155298455446623	216	216	0.0214886444696035	0.22210951846733
Pentanoate_101.1	Age	Age	-0.360941812269049	0.150769417728464	216	216	0.0219301189789814	0.224783719534559
X6.Hydroxynicotinate_138	Gender	Male	-0.273514088228052	0.114873259198774	216	216	0.0230293883088473	0.227299000771565
Deoxycarnitine_146.1	Age	Age	-0.456783141818648	0.193176526963488	216	216	0.0233662945844802	0.227299000771565
Deoxyguanosine_268.1	IIRN_Flare	never_flared	0.615591057703442	0.26353802246111	216	215	0.023469083819503	0.227299000771565
